Flight ID,Flight Number,Departure Date,Departure Time,Price,Destination Base ID,Arrival Base ID,Arrival Date,Arrival Time
3032,FL3032,2032-07-31,10:30:00,1760.53,11,3,2032-07-31,13:00:00
3033,FL3033,2032-08-01,10:31:00,2049.98,2,3,2032-08-01,13:01:00
3034,FL3034,2032-08-02,10:32:00,3176.68,1,1,2032-08-02,13:02:00
3035,FL3035,2032-08-03,10:33:00,3145.66,10,10,2032-08-03,13:03:00
3036,FL3036,2032-08-04,10:34:00,1518.28,4,2,2032-08-04,13:04:00
3037,FL3037,2032-08-05,10:35:00,3032.04,2,10,2032-08-05,13:05:00
3038,FL3038,2032-08-06,10:36:00,3061.54,12,5,2032-08-06,13:06:00
3039,FL3039,2032-08-07,10:37:00,3135.07,9,3,2032-08-07,13:07:00
3040,FL3040,2032-08-08,10:38:00,2455.67,9,1,2032-08-08,13:08:00
3041,FL3041,2032-08-09,10:39:00,1983.05,2,9,2032-08-09,13:09:00
3042,FL3042,2032-08-10,10:40:00,2846.49,6,1,2032-08-10,13:10:00
3043,FL3043,2032-08-11,10:41:00,3056.21,2,4,2032-08-11,13:11:00
3044,FL3044,2032-08-12,10:42:00,2824.63,6,12,2032-08-12,13:12:00
3045,FL3045,2032-08-13,10:43:00,1682.01,7,2,2032-08-13,13:13:00
3046,FL3046,2032-08-14,10:44:00,1580.01,6,4,2032-08-14,13:14:00
3047,FL3047,2032-08-15,10:45:00,1823.49,3,3,2032-08-15,13:15:00
3048,FL3048,2032-08-16,10:46:00,2671.21,3,1,2032-08-16,13:16:00
3049,FL3049,2032-08-17,10:47:00,2146.64,12,1,2032-08-17,13:17:00
3050,FL3050,2032-08-18,10:48:00,2443.42,4,2,2032-08-18,13:18:00
3051,FL3051,2032-08-19,10:49:00,3089.8,6,8,2032-08-19,13:19:00
3052,FL3052,2032-08-20,10:50:00,3459.36,11,10,2032-08-20,13:20:00
3053,FL3053,2032-08-21,10:51:00,1953.16,8,9,2032-08-21,13:21:00
3054,FL3054,2032-08-22,10:52:00,2206.8,10,3,2032-08-22,13:22:00
3055,FL3055,2032-08-23,10:53:00,1613.43,2,8,2032-08-23,13:23:00
3056,FL3056,2032-08-24,10:54:00,3003.32,5,11,2032-08-24,13:24:00
3057,FL3057,2032-08-25,10:55:00,2430.52,2,10,2032-08-25,13:25:00
3058,FL3058,2032-08-26,10:56:00,1715.45,2,4,2032-08-26,13:26:00
3059,FL3059,2032-08-27,10:57:00,2511.1,9,10,2032-08-27,13:27:00
3060,FL3060,2032-08-28,10:58:00,2912.75,6,6,2032-08-28,13:28:00
3061,FL3061,2032-08-29,10:59:00,1796.45,3,8,2032-08-29,13:29:00
3062,FL3062,2032-08-30,11:00:00,1687.96,12,7,2032-08-30,13:30:00
3063,FL3063,2032-08-31,11:01:00,2376.05,1,12,2032-08-31,13:31:00
3064,FL3064,2032-09-01,11:02:00,2668.38,12,2,2032-09-01,13:32:00
3065,FL3065,2032-09-02,11:03:00,1580.06,11,8,2032-09-02,13:33:00
3066,FL3066,2032-09-03,11:04:00,2109.2,1,1,2032-09-03,13:34:00
3067,FL3067,2032-09-04,11:05:00,2333.79,6,12,2032-09-04,13:35:00
3068,FL3068,2032-09-05,11:06:00,2979.35,2,9,2032-09-05,13:36:00
3069,FL3069,2032-09-06,11:07:00,2351.98,5,6,2032-09-06,13:37:00
3070,FL3070,2032-09-07,11:08:00,1866.75,8,1,2032-09-07,13:38:00
3071,FL3071,2032-09-08,11:09:00,2652.73,7,7,2032-09-08,13:39:00
3072,FL3072,2032-09-09,11:10:00,3446.64,2,5,2032-09-09,13:40:00
3073,FL3073,2032-09-10,11:11:00,2661.75,4,1,2032-09-10,13:41:00
3074,FL3074,2032-09-11,11:12:00,3220.31,4,8,2032-09-11,13:42:00
3075,FL3075,2032-09-12,11:13:00,2525.41,5,10,2032-09-12,13:43:00
3076,FL3076,2032-09-13,11:14:00,2502.92,6,8,2032-09-13,13:44:00
3077,FL3077,2032-09-14,11:15:00,1908.06,2,7,2032-09-14,13:45:00
3078,FL3078,2032-09-15,11:16:00,3040.46,2,3,2032-09-15,13:46:00
3079,FL3079,2032-09-16,11:17:00,2921.34,3,8,2032-09-16,13:47:00
3080,FL3080,2032-09-17,11:18:00,2223.76,11,6,2032-09-17,13:48:00
3081,FL3081,2032-09-18,11:19:00,2816.59,9,6,2032-09-18,13:49:00
3082,FL3082,2032-09-19,11:20:00,2725.25,5,9,2032-09-19,13:50:00
3083,FL3083,2032-09-20,11:21:00,2901.54,12,2,2032-09-20,13:51:00
3084,FL3084,2032-09-21,11:22:00,2066.21,5,5,2032-09-21,13:52:00
3085,FL3085,2032-09-22,11:23:00,1875.06,8,3,2032-09-22,13:53:00
3086,FL3086,2032-09-23,11:24:00,1619.74,6,9,2032-09-23,13:54:00
3087,FL3087,2032-09-24,11:25:00,2632.28,8,10,2032-09-24,13:55:00
3088,FL3088,2032-09-25,11:26:00,2968.88,1,8,2032-09-25,13:56:00
3089,FL3089,2032-09-26,11:27:00,3180.9,3,12,2032-09-26,13:57:00
3090,FL3090,2032-09-27,11:28:00,3469.44,2,7,2032-09-27,13:58:00
3091,FL3091,2032-09-28,11:29:00,2669.05,8,3,2032-09-28,13:59:00
3092,FL3092,2032-09-29,11:30:00,2342.88,11,11,2032-09-29,14:00:00
3093,FL3093,2032-09-30,11:31:00,1817.18,5,6,2032-09-30,14:01:00
3094,FL3094,2032-10-01,11:32:00,3159.76,10,9,2032-10-01,14:02:00
3095,FL3095,2032-10-02,11:33:00,3081.0,7,9,2032-10-02,14:03:00
3096,FL3096,2032-10-03,11:34:00,2280.59,6,11,2032-10-03,14:04:00
3097,FL3097,2032-10-04,11:35:00,2535.61,10,10,2032-10-04,14:05:00
3098,FL3098,2032-10-05,11:36:00,2414.86,5,4,2032-10-05,14:06:00
3099,FL3099,2032-10-06,11:37:00,2392.15,9,8,2032-10-06,14:07:00
3100,FL3100,2032-10-07,11:38:00,3128.54,1,3,2032-10-07,14:08:00
3101,FL3101,2032-10-08,11:39:00,1746.61,7,9,2032-10-08,14:09:00
3102,FL3102,2032-10-09,11:40:00,2105.8,6,5,2032-10-09,14:10:00
3103,FL3103,2032-10-10,11:41:00,1669.59,12,6,2032-10-10,14:11:00
3104,FL3104,2032-10-11,11:42:00,1573.83,4,4,2032-10-11,14:12:00
3105,FL3105,2032-10-12,11:43:00,2596.71,5,3,2032-10-12,14:13:00
3106,FL3106,2032-10-13,11:44:00,3002.97,12,7,2032-10-13,14:14:00
3107,FL3107,2032-10-14,11:45:00,3132.04,11,6,2032-10-14,14:15:00
3108,FL3108,2032-10-15,11:46:00,2746.85,11,5,2032-10-15,14:16:00
3109,FL3109,2032-10-16,11:47:00,3143.47,8,8,2032-10-16,14:17:00
3110,FL3110,2032-10-17,11:48:00,3315.41,1,2,2032-10-17,14:18:00
3111,FL3111,2032-10-18,11:49:00,2076.74,9,2,2032-10-18,14:19:00
3112,FL3112,2032-10-19,11:50:00,1677.05,6,10,2032-10-19,14:20:00
3113,FL3113,2032-10-20,11:51:00,2481.53,6,8,2032-10-20,14:21:00
3114,FL3114,2032-10-21,11:52:00,2508.2,11,10,2032-10-21,14:22:00
3115,FL3115,2032-10-22,11:53:00,2541.13,3,7,2032-10-22,14:23:00
3116,FL3116,2032-10-23,11:54:00,2349.36,4,11,2032-10-23,14:24:00
3117,FL3117,2032-10-24,11:55:00,2815.19,4,10,2032-10-24,14:25:00
3118,FL3118,2032-10-25,11:56:00,3382.05,1,1,2032-10-25,14:26:00
3119,FL3119,2032-10-26,11:57:00,1542.12,12,10,2032-10-26,14:27:00
3120,FL3120,2032-10-27,11:58:00,1712.0,12,12,2032-10-27,14:28:00
3121,FL3121,2032-10-28,11:59:00,2896.56,6,2,2032-10-28,14:29:00
3122,FL3122,2032-10-29,12:00:00,1596.57,7,6,2032-10-29,14:30:00
3123,FL3123,2032-10-30,12:01:00,3151.89,2,7,2032-10-30,14:31:00
3124,FL3124,2032-10-31,12:02:00,1583.72,10,9,2032-10-31,14:32:00
3125,FL3125,2032-11-01,12:03:00,2613.08,5,7,2032-11-01,14:33:00
3126,FL3126,2032-11-02,12:04:00,1840.74,2,7,2032-11-02,14:34:00
3127,FL3127,2032-11-03,12:05:00,1680.23,3,6,2032-11-03,14:35:00
3128,FL3128,2032-11-04,12:06:00,1873.95,4,8,2032-11-04,14:36:00
3129,FL3129,2032-11-05,12:07:00,2790.62,9,12,2032-11-05,14:37:00
3130,FL3130,2032-11-06,12:08:00,2452.66,6,3,2032-11-06,14:38:00
3131,FL3131,2032-11-07,12:09:00,3470.77,2,11,2032-11-07,14:39:00
3132,FL3132,2032-11-08,12:10:00,2073.93,5,4,2032-11-08,14:40:00
3133,FL3133,2032-11-09,12:11:00,1500.55,10,3,2032-11-09,14:41:00
3134,FL3134,2032-11-10,12:12:00,2529.85,3,1,2032-11-10,14:42:00
3135,FL3135,2032-11-11,12:13:00,2986.44,6,7,2032-11-11,14:43:00
3136,FL3136,2032-11-12,12:14:00,3046.77,9,3,2032-11-12,14:44:00
3137,FL3137,2032-11-13,12:15:00,2540.95,4,12,2032-11-13,14:45:00
3138,FL3138,2032-11-14,12:16:00,3102.14,12,2,2032-11-14,14:46:00
3139,FL3139,2032-11-15,12:17:00,3491.46,12,7,2032-11-15,14:47:00
3140,FL3140,2032-11-16,12:18:00,2982.74,7,5,2032-11-16,14:48:00
3141,FL3141,2032-11-17,12:19:00,1859.01,10,11,2032-11-17,14:49:00
3142,FL3142,2032-11-18,12:20:00,2401.44,10,9,2032-11-18,14:50:00
3143,FL3143,2032-11-19,12:21:00,2086.7,6,8,2032-11-19,14:51:00
3144,FL3144,2032-11-20,12:22:00,3389.63,1,8,2032-11-20,14:52:00
3145,FL3145,2032-11-21,12:23:00,1570.09,5,11,2032-11-21,14:53:00
3146,FL3146,2032-11-22,12:24:00,2235.96,2,3,2032-11-22,14:54:00
3147,FL3147,2032-11-23,12:25:00,2184.55,9,10,2032-11-23,14:55:00
3148,FL3148,2032-11-24,12:26:00,3461.25,8,4,2032-11-24,14:56:00
3149,FL3149,2032-11-25,12:27:00,1795.52,8,1,2032-11-25,14:57:00
3150,FL3150,2032-11-26,12:28:00,2641.52,8,6,2032-11-26,14:58:00
3151,FL3151,2032-11-27,12:29:00,1549.75,5,7,2032-11-27,14:59:00
3152,FL3152,2032-11-28,12:30:00,1742.15,7,7,2032-11-28,15:00:00
3153,FL3153,2032-11-29,12:31:00,2633.08,5,11,2032-11-29,15:01:00
3154,FL3154,2032-11-30,12:32:00,2503.04,1,12,2032-11-30,15:02:00
3155,FL3155,2032-12-01,12:33:00,1765.09,4,1,2032-12-01,15:03:00
3156,FL3156,2032-12-02,12:34:00,3237.8,10,8,2032-12-02,15:04:00
3157,FL3157,2032-12-03,12:35:00,1632.41,6,10,2032-12-03,15:05:00
3158,FL3158,2032-12-04,12:36:00,3463.91,2,12,2032-12-04,15:06:00
3159,FL3159,2032-12-05,12:37:00,3371.57,3,9,2032-12-05,15:07:00
3160,FL3160,2032-12-06,12:38:00,2153.88,5,6,2032-12-06,15:08:00
3161,FL3161,2032-12-07,12:39:00,2079.61,7,2,2032-12-07,15:09:00
3162,FL3162,2032-12-08,12:40:00,3233.51,7,11,2032-12-08,15:10:00
3163,FL3163,2032-12-09,12:41:00,3143.11,3,5,2032-12-09,15:11:00
3164,FL3164,2032-12-10,12:42:00,3167.73,4,4,2032-12-10,15:12:00
3165,FL3165,2032-12-11,12:43:00,1633.85,8,8,2032-12-11,15:13:00
3166,FL3166,2032-12-12,12:44:00,2506.98,1,1,2032-12-12,15:14:00
3167,FL3167,2032-12-13,12:45:00,3383.36,7,6,2032-12-13,15:15:00
3168,FL3168,2032-12-14,12:46:00,2929.37,12,3,2032-12-14,15:16:00
3169,FL3169,2032-12-15,12:47:00,1857.47,4,4,2032-12-15,15:17:00
3170,FL3170,2032-12-16,12:48:00,3346.62,4,2,2032-12-16,15:18:00
3171,FL3171,2032-12-17,12:49:00,2944.73,9,11,2032-12-17,15:19:00
3172,FL3172,2032-12-18,12:50:00,2759.17,1,2,2032-12-18,15:20:00
3173,FL3173,2032-12-19,12:51:00,2794.81,1,5,2032-12-19,15:21:00
3174,FL3174,2032-12-20,12:52:00,2140.94,8,11,2032-12-20,15:22:00
3175,FL3175,2032-12-21,12:53:00,1648.56,5,1,2032-12-21,15:23:00
3176,FL3176,2032-12-22,12:54:00,1674.56,8,4,2032-12-22,15:24:00
3177,FL3177,2032-12-23,12:55:00,2358.67,12,8,2032-12-23,15:25:00
3178,FL3178,2032-12-24,12:56:00,3353.38,3,2,2032-12-24,15:26:00
3179,FL3179,2032-12-25,12:57:00,3463.84,11,11,2032-12-25,15:27:00
3180,FL3180,2032-12-26,12:58:00,2640.44,5,8,2032-12-26,15:28:00
3181,FL3181,2032-12-27,12:59:00,3302.98,10,12,2032-12-27,15:29:00
3182,FL3182,2032-12-28,13:00:00,3118.84,2,7,2032-12-28,15:30:00
3183,FL3183,2032-12-29,13:01:00,1713.64,5,10,2032-12-29,15:31:00
3184,FL3184,2032-12-30,13:02:00,1608.86,6,2,2032-12-30,15:32:00
3185,FL3185,2032-12-31,13:03:00,2565.97,9,5,2032-12-31,15:33:00
3186,FL3186,2033-01-01,13:04:00,1558.68,8,2,2033-01-01,15:34:00
3187,FL3187,2033-01-02,13:05:00,2905.36,9,1,2033-01-02,15:35:00
3188,FL3188,2033-01-03,13:06:00,1854.46,9,1,2033-01-03,15:36:00
3189,FL3189,2033-01-04,13:07:00,2175.13,4,10,2033-01-04,15:37:00
3190,FL3190,2033-01-05,13:08:00,3409.85,9,5,2033-01-05,15:38:00
3191,FL3191,2033-01-06,13:09:00,2263.73,1,11,2033-01-06,15:39:00
3192,FL3192,2033-01-07,13:10:00,3274.64,6,9,2033-01-07,15:40:00
3193,FL3193,2033-01-08,13:11:00,1997.74,12,3,2033-01-08,15:41:00
3194,FL3194,2033-01-09,13:12:00,2147.31,5,10,2033-01-09,15:42:00
3195,FL3195,2033-01-10,13:13:00,2790.5,7,3,2033-01-10,15:43:00
3196,FL3196,2033-01-11,13:14:00,2956.47,12,3,2033-01-11,15:44:00
3197,FL3197,2033-01-12,13:15:00,2868.69,6,2,2033-01-12,15:45:00
3198,FL3198,2033-01-13,13:16:00,2606.7,1,11,2033-01-13,15:46:00
3199,FL3199,2033-01-14,13:17:00,1724.04,10,9,2033-01-14,15:47:00
3200,FL3200,2033-01-15,13:18:00,1835.94,11,1,2033-01-15,15:48:00
3201,FL3201,2033-01-16,13:19:00,1806.66,10,2,2033-01-16,15:49:00
3202,FL3202,2033-01-17,13:20:00,2998.05,12,12,2033-01-17,15:50:00
3203,FL3203,2033-01-18,13:21:00,2843.39,2,12,2033-01-18,15:51:00
3204,FL3204,2033-01-19,13:22:00,2961.98,11,5,2033-01-19,15:52:00
3205,FL3205,2033-01-20,13:23:00,1930.07,7,11,2033-01-20,15:53:00
3206,FL3206,2033-01-21,13:24:00,1633.2,3,12,2033-01-21,15:54:00
3207,FL3207,2033-01-22,13:25:00,3218.14,11,9,2033-01-22,15:55:00
3208,FL3208,2033-01-23,13:26:00,3181.02,10,3,2033-01-23,15:56:00
3209,FL3209,2033-01-24,13:27:00,3130.06,2,7,2033-01-24,15:57:00
3210,FL3210,2033-01-25,13:28:00,3005.62,1,12,2033-01-25,15:58:00
3211,FL3211,2033-01-26,13:29:00,3478.49,1,12,2033-01-26,15:59:00
3212,FL3212,2033-01-27,13:30:00,3283.35,2,9,2033-01-27,16:00:00
3213,FL3213,2033-01-28,13:31:00,3289.84,3,7,2033-01-28,16:01:00
3214,FL3214,2033-01-29,13:32:00,1978.36,8,5,2033-01-29,16:02:00
3215,FL3215,2033-01-30,13:33:00,3102.32,6,1,2033-01-30,16:03:00
3216,FL3216,2033-01-31,13:34:00,2717.56,10,10,2033-01-31,16:04:00
3217,FL3217,2033-02-01,13:35:00,3274.14,10,5,2033-02-01,16:05:00
3218,FL3218,2033-02-02,13:36:00,1805.57,9,3,2033-02-02,16:06:00
3219,FL3219,2033-02-03,13:37:00,2592.15,6,3,2033-02-03,16:07:00
3220,FL3220,2033-02-04,13:38:00,1881.11,3,4,2033-02-04,16:08:00
3221,FL3221,2033-02-05,13:39:00,2740.44,4,7,2033-02-05,16:09:00
3222,FL3222,2033-02-06,13:40:00,2280.43,5,4,2033-02-06,16:10:00
3223,FL3223,2033-02-07,13:41:00,3076.49,3,6,2033-02-07,16:11:00
3224,FL3224,2033-02-08,13:42:00,3452.77,7,5,2033-02-08,16:12:00
3225,FL3225,2033-02-09,13:43:00,2162.8,1,12,2033-02-09,16:13:00
3226,FL3226,2033-02-10,13:44:00,2606.13,9,6,2033-02-10,16:14:00
3227,FL3227,2033-02-11,13:45:00,2869.42,2,1,2033-02-11,16:15:00
3228,FL3228,2033-02-12,13:46:00,1579.15,3,9,2033-02-12,16:16:00
3229,FL3229,2033-02-13,13:47:00,2896.99,2,5,2033-02-13,16:17:00
3230,FL3230,2033-02-14,13:48:00,2256.79,2,11,2033-02-14,16:18:00
3231,FL3231,2033-02-15,13:49:00,2382.17,5,2,2033-02-15,16:19:00
3232,FL3232,2033-02-16,13:50:00,3445.28,4,1,2033-02-16,16:20:00
3233,FL3233,2033-02-17,13:51:00,2446.85,3,4,2033-02-17,16:21:00
3234,FL3234,2033-02-18,13:52:00,2328.43,9,6,2033-02-18,16:22:00
3235,FL3235,2033-02-19,13:53:00,2181.55,6,1,2033-02-19,16:23:00
3236,FL3236,2033-02-20,13:54:00,2909.07,10,5,2033-02-20,16:24:00
3237,FL3237,2033-02-21,13:55:00,2065.69,7,7,2033-02-21,16:25:00
3238,FL3238,2033-02-22,13:56:00,3016.76,7,10,2033-02-22,16:26:00
3239,FL3239,2033-02-23,13:57:00,3047.85,1,3,2033-02-23,16:27:00
3240,FL3240,2033-02-24,13:58:00,3142.43,12,2,2033-02-24,16:28:00
3241,FL3241,2033-02-25,13:59:00,2328.96,11,5,2033-02-25,16:29:00
3242,FL3242,2033-02-26,14:00:00,3418.34,1,6,2033-02-26,16:30:00
3243,FL3243,2033-02-27,14:01:00,1898.54,10,10,2033-02-27,16:31:00
3244,FL3244,2033-02-28,14:02:00,2942.06,9,8,2033-02-28,16:32:00
3245,FL3245,2033-03-01,14:03:00,1763.93,2,6,2033-03-01,16:33:00
3246,FL3246,2033-03-02,14:04:00,1730.94,4,9,2033-03-02,16:34:00
3247,FL3247,2033-03-03,14:05:00,3040.12,9,9,2033-03-03,16:35:00
3248,FL3248,2033-03-04,14:06:00,2645.91,1,6,2033-03-04,16:36:00
3249,FL3249,2033-03-05,14:07:00,3064.84,3,8,2033-03-05,16:37:00
3250,FL3250,2033-03-06,14:08:00,3036.24,10,1,2033-03-06,16:38:00
3251,FL3251,2033-03-07,14:09:00,2819.5,5,12,2033-03-07,16:39:00
3252,FL3252,2033-03-08,14:10:00,1594.6,10,9,2033-03-08,16:40:00
3253,FL3253,2033-03-09,14:11:00,1830.21,11,1,2033-03-09,16:41:00
3254,FL3254,2033-03-10,14:12:00,2431.49,4,2,2033-03-10,16:42:00
3255,FL3255,2033-03-11,14:13:00,1588.48,6,12,2033-03-11,16:43:00
3256,FL3256,2033-03-12,14:14:00,3264.62,11,5,2033-03-12,16:44:00
3257,FL3257,2033-03-13,14:15:00,2465.74,8,4,2033-03-13,16:45:00
3258,FL3258,2033-03-14,14:16:00,2286.34,10,1,2033-03-14,16:46:00
3259,FL3259,2033-03-15,14:17:00,3262.9,9,11,2033-03-15,16:47:00
3260,FL3260,2033-03-16,14:18:00,2578.77,11,4,2033-03-16,16:48:00
3261,FL3261,2033-03-17,14:19:00,1612.56,6,1,2033-03-17,16:49:00
3262,FL3262,2033-03-18,14:20:00,3313.82,10,9,2033-03-18,16:50:00
3263,FL3263,2033-03-19,14:21:00,3426.96,9,6,2033-03-19,16:51:00
3264,FL3264,2033-03-20,14:22:00,2148.44,2,10,2033-03-20,16:52:00
3265,FL3265,2033-03-21,14:23:00,3006.61,11,11,2033-03-21,16:53:00
3266,FL3266,2033-03-22,14:24:00,2367.12,5,12,2033-03-22,16:54:00
3267,FL3267,2033-03-23,14:25:00,2670.29,8,10,2033-03-23,16:55:00
3268,FL3268,2033-03-24,14:26:00,1522.7,10,8,2033-03-24,16:56:00
3269,FL3269,2033-03-25,14:27:00,2507.21,7,1,2033-03-25,16:57:00
3270,FL3270,2033-03-26,14:28:00,1745.34,12,7,2033-03-26,16:58:00
3271,FL3271,2033-03-27,14:29:00,2235.52,7,2,2033-03-27,16:59:00
3272,FL3272,2033-03-28,14:30:00,2731.14,6,1,2033-03-28,17:00:00
3273,FL3273,2033-03-29,14:31:00,2684.66,2,8,2033-03-29,17:01:00
3274,FL3274,2033-03-30,14:32:00,2266.58,11,8,2033-03-30,17:02:00
3275,FL3275,2033-03-31,14:33:00,2063.96,9,8,2033-03-31,17:03:00
3276,FL3276,2033-04-01,14:34:00,1816.49,3,7,2033-04-01,17:04:00
3277,FL3277,2033-04-02,14:35:00,2327.39,7,2,2033-04-02,17:05:00
3278,FL3278,2033-04-03,14:36:00,3459.37,8,4,2033-04-03,17:06:00
3279,FL3279,2033-04-04,14:37:00,1761.28,2,11,2033-04-04,17:07:00
3280,FL3280,2033-04-05,14:38:00,2219.63,5,7,2033-04-05,17:08:00
3281,FL3281,2033-04-06,14:39:00,2037.4,1,4,2033-04-06,17:09:00
3282,FL3282,2033-04-07,14:40:00,2910.2,10,3,2033-04-07,17:10:00
3283,FL3283,2033-04-08,14:41:00,1745.84,3,5,2033-04-08,17:11:00
3284,FL3284,2033-04-09,14:42:00,2347.29,10,8,2033-04-09,17:12:00
3285,FL3285,2033-04-10,14:43:00,2929.07,8,12,2033-04-10,17:13:00
3286,FL3286,2033-04-11,14:44:00,2026.15,12,4,2033-04-11,17:14:00
3287,FL3287,2033-04-12,14:45:00,2372.8,7,11,2033-04-12,17:15:00
3288,FL3288,2033-04-13,14:46:00,3147.11,8,9,2033-04-13,17:16:00
3289,FL3289,2033-04-14,14:47:00,3313.29,11,6,2033-04-14,17:17:00
3290,FL3290,2033-04-15,14:48:00,2839.2,10,5,2033-04-15,17:18:00
3291,FL3291,2033-04-16,14:49:00,2678.73,7,12,2033-04-16,17:19:00
3292,FL3292,2033-04-17,14:50:00,2432.1,8,2,2033-04-17,17:20:00
3293,FL3293,2033-04-18,14:51:00,3458.76,5,5,2033-04-18,17:21:00
3294,FL3294,2033-04-19,14:52:00,3414.54,3,6,2033-04-19,17:22:00
3295,FL3295,2033-04-20,14:53:00,2249.16,6,11,2033-04-20,17:23:00
3296,FL3296,2033-04-21,14:54:00,1622.99,8,2,2033-04-21,17:24:00
3297,FL3297,2033-04-22,14:55:00,3476.26,4,6,2033-04-22,17:25:00
3298,FL3298,2033-04-23,14:56:00,2494.97,2,3,2033-04-23,17:26:00
3299,FL3299,2033-04-24,14:57:00,2876.54,5,3,2033-04-24,17:27:00
3300,FL3300,2033-04-25,14:58:00,3144.75,7,4,2033-04-25,17:28:00
3301,FL3301,2033-04-26,14:59:00,3404.81,2,4,2033-04-26,17:29:00
3302,FL3302,2033-04-27,15:00:00,1528.55,5,11,2033-04-27,17:30:00
3303,FL3303,2033-04-28,15:01:00,1896.54,12,12,2033-04-28,17:31:00
3304,FL3304,2033-04-29,15:02:00,1825.56,7,2,2033-04-29,17:32:00
3305,FL3305,2033-04-30,15:03:00,2806.4,4,5,2033-04-30,17:33:00
3306,FL3306,2033-05-01,15:04:00,1608.99,7,8,2033-05-01,17:34:00
3307,FL3307,2033-05-02,15:05:00,2892.67,12,5,2033-05-02,17:35:00
3308,FL3308,2033-05-03,15:06:00,3179.61,2,12,2033-05-03,17:36:00
3309,FL3309,2033-05-04,15:07:00,3332.53,1,2,2033-05-04,17:37:00
3310,FL3310,2033-05-05,15:08:00,2905.66,4,10,2033-05-05,17:38:00
3311,FL3311,2033-05-06,15:09:00,1669.23,10,3,2033-05-06,17:39:00
3312,FL3312,2033-05-07,15:10:00,3004.64,7,8,2033-05-07,17:40:00
3313,FL3313,2033-05-08,15:11:00,2143.31,5,9,2033-05-08,17:41:00
3314,FL3314,2033-05-09,15:12:00,1655.21,8,8,2033-05-09,17:42:00
3315,FL3315,2033-05-10,15:13:00,1571.35,5,9,2033-05-10,17:43:00
3316,FL3316,2033-05-11,15:14:00,2148.34,12,5,2033-05-11,17:44:00
3317,FL3317,2033-05-12,15:15:00,1889.63,11,8,2033-05-12,17:45:00
3318,FL3318,2033-05-13,15:16:00,2816.25,8,6,2033-05-13,17:46:00
3319,FL3319,2033-05-14,15:17:00,3487.12,7,7,2033-05-14,17:47:00
3320,FL3320,2033-05-15,15:18:00,2879.15,11,8,2033-05-15,17:48:00
3321,FL3321,2033-05-16,15:19:00,1726.63,12,3,2033-05-16,17:49:00
3322,FL3322,2033-05-17,15:20:00,2117.23,2,2,2033-05-17,17:50:00
3323,FL3323,2033-05-18,15:21:00,2689.42,6,8,2033-05-18,17:51:00
3324,FL3324,2033-05-19,15:22:00,3029.55,9,3,2033-05-19,17:52:00
